"gene","A5","A9","A17","A21","A29","A33"
"Solyc00g016910",0,0,0,0,0,0
"Solyc00g017210",0,0,0,0,0,0
"Solyc00g017220",0,0,0,0,0,0
"Solyc00g017230",0,0,0,0,0,1
"Solyc00g017530",0,1,7,0,2,0
"Solyc00g017540",3,7,2,13,11,18
"Solyc00g017550",13,9,12,23,36,36
"Solyc00g017750",0,0,0,0,0,0
"Solyc00g017760",0,0,0,0,0,0
"Solyc00g017860",0,0,0,0,0,0
"Solyc00g017870",0,0,0,0,0,0
"Solyc00g017880",0,0,0,0,0,0
"Solyc00g017890",0,0,0,0,0,0
"Solyc00g017900",0,0,0,0,0,0
"Solyc00g017910",0,0,0,0,0,0
"Solyc00g017920",0,0,0,0,0,0
"Solyc00g017930",0,0,0,0,0,0
"Solyc00g018760",0,0,0,0,0,0
"Solyc00g018770",0,0,0,0,0,0
"Solyc00g018970",0,1,0,0,0,1
"Solyc00g019610",0,0,0,0,0,0
"Solyc00g019620",0,0,0,0,0,0
"Solyc00g019630",0,0,0,0,0,0
"Solyc00g019730",7799,11412,7272,17045,10099,29755
"Solyc00g019740",8385,22286,14186,35885,10067,56883
"Solyc00g019750",2460,8363,4331,13294,2594,17987
"Solyc00g019950",3712,7897,4211,12861,6382,16746
"Solyc00g019960",1,1,3,16,1,17
"Solyc00g019970",19,30,24,74,34,73
"Solyc00g019980",14,23,18,92,16,107
"Solyc00g019990",3,16,9,26,4,53
"Solyc00g020000",2,11,4,46,3,25
"Solyc00g020010",68,467,400,1286,142,831
"Solyc00g020020",96,122,79,349,121,332
"Solyc00g020030",178,424,372,1108,217,626
"Solyc00g020040",3680,3473,2358,3496,5457,8711
"Solyc00g020440",0,0,0,0,0,0
"Solyc00g020540",464,17,631,10,433,1
"Solyc00g020840",3,2,0,4,1,7
"Solyc00g020940",0,0,0,0,0,0
"Solyc00g020950",0,0,0,0,0,0
"Solyc00g020960",0,0,0,0,0,0
"Solyc00g020970",0,0,0,0,0,0
"Solyc00g020980",0,0,0,0,0,0
"Solyc00g020990",0,0,0,0,0,0
"Solyc00g021490",0,0,0,0,0,0
"Solyc00g021500",0,0,0,0,0,0
"Solyc00g021510",0,0,0,0,0,0
"Solyc00g021520",0,0,0,0,0,0
"Solyc00g021530",0,0,0,0,0,0
"Solyc00g021630",5772,13254,4317,9779,8826,26351
"Solyc00g021640",2919,4676,2168,5344,3454,7316
"Solyc00g021650",6,18,9,21,7,45
"Solyc00g021660",6,8,9,27,12,24
"Solyc00g022070",10,100,6,227,5,134
"Solyc00g022080",18,50,53,87,38,130
"Solyc00g022090",43,202,87,416,37,385
"Solyc00g022100",6361,15699,9093,38153,8078,38588
"Solyc00g022110",6971,26107,14600,68864,8085,59930
"Solyc00g022920",0,0,0,0,0,0
"Solyc00g023020",0,0,0,0,0,0
"Solyc00g023030",0,0,0,0,0,0
"Solyc00g023040",0,0,0,0,0,0
"Solyc00g023050",0,0,0,0,0,0
"Solyc00g023250",0,0,0,0,0,0
"Solyc00g023260",0,0,0,0,0,0
"Solyc00g023270",0,0,0,0,0,0
"Solyc00g023470",106,3334,224,4773,364,4005
"Solyc00g023570",22,77,50,136,32,116
"Solyc00g023580",1,13,0,3,1,11
"Solyc00g023590",27,30,22,47,20,62
"Solyc00g023600",0,1,0,2,0,3
"Solyc00g023700",18,25,16,49,21,39
"Solyc00g023710",19,54,50,96,30,63
"Solyc00g024010",0,0,0,0,0,0
"Solyc00g024020",0,0,0,0,0,0
"Solyc00g024030",0,0,0,0,0,0
"Solyc00g024040",0,0,0,0,0,0
"Solyc00g024050",0,0,0,0,0,0
"Solyc00g024150",10,48,8,27,18,146
"Solyc00g024160",1,0,1,0,3,2
"Solyc00g024170",8,7,2,8,2,0
"Solyc00g024370",0,0,0,0,0,0
"Solyc00g024570",91,13,43,5,80,3
"Solyc00g024670",0,0,0,0,0,0
"Solyc00g024680",0,0,0,0,0,0
"Solyc00g024690",0,0,0,0,0,0
"Solyc00g025290",812,2216,3001,6977,969,3668
"Solyc00g025300",1,2,1,0,2,0
"Solyc00g025400",131,382,324,837,181,647
