GO_term,locusName,fx
GO:0005618,Solyc05g046290,Cellular Component:cell wall
GO:0005618,Solyc11g051030,Cellular Component:cell wall
GO:0005618,Solyc01g106650,Cellular Component:cell wall
GO:0005618,Solyc07g064190,Cellular Component:cell wall
GO:0005618,Solyc11g051020,Cellular Component:cell wall
GO:0005618,Solyc10g083820,Cellular Component:cell wall
GO:0005618,Solyc01g109740,Cellular Component:cell wall
GO:0005618,Solyc04g080530,Cellular Component:cell wall
GO:0005618,Solyc07g056000,Cellular Component:cell wall
GO:0005618,Solyc03g083360,Cellular Component:cell wall
GO:0005618,Solyc02g081990,Cellular Component:cell wall
GO:0005618,Solyc02g080200,Cellular Component:cell wall
GO:0005618,Solyc10g049370,Cellular Component:cell wall
GO:0005618,Solyc01g066360,Cellular Component:cell wall
GO:0005618,Solyc07g064170,Cellular Component:cell wall
GO:0005618,Solyc07g006860,Cellular Component:cell wall
GO:0005618,Solyc06g084620,Cellular Component:cell wall
GO:0005618,Solyc01g068120,Cellular Component:cell wall
GO:0005618,Solyc03g083840,Cellular Component:cell wall
GO:0005618,Solyc02g062150,Cellular Component:cell wall
GO:0005618,Solyc10g049380,Cellular Component:cell wall
GO:0005618,Solyc06g034360,Cellular Component:cell wall
GO:0005618,Solyc02g080210,Cellular Component:cell wall
GO:0005618,Solyc10g049440,Cellular Component:cell wall
GO:0005618,Solyc11g065600,Cellular Component:cell wall
GO:0005618,Solyc02g014300,Cellular Component:cell wall
GO:0005618,Solyc06g083400,Cellular Component:cell wall
GO:0005618,Solyc03g031800,Cellular Component:cell wall
GO:0005618,Solyc07g043240,Cellular Component:cell wall
GO:0005618,Solyc11g066270,Cellular Component:cell wall
GO:0005618,Solyc03g083870,Cellular Component:cell wall
GO:0005618,Solyc10g076430,Cellular Component:cell wall
GO:0005618,Solyc01g098940,Cellular Component:cell wall
GO:0005618,Solyc12g099230,Cellular Component:cell wall
GO:0005618,Solyc09g059980,Cellular Component:cell wall
GO:0005618,Solyc08g076080,Cellular Component:cell wall
GO:0005618,Solyc12g007270,Cellular Component:cell wall
GO:0005618,Solyc12g008530,Cellular Component:cell wall
GO:0005618,Solyc11g050990,Cellular Component:cell wall
GO:0005618,Solyc01g099940,Cellular Component:cell wall
GO:0005618,Solyc10g049430,Cellular Component:cell wall
GO:0005618,Solyc03g098430,Cellular Component:cell wall
GO:0005618,Solyc03g123620,Cellular Component:cell wall
GO:0005618,Solyc06g051960,Cellular Component:cell wall
GO:0005618,Solyc05g052120,Cellular Component:cell wall
GO:0005618,Solyc00g170510,Cellular Component:cell wall
GO:0005618,Solyc07g017600,Cellular Component:cell wall
GO:0005618,Solyc01g067420,Cellular Component:cell wall
GO:0005618,Solyc02g091920,Cellular Component:cell wall
GO:0005618,Solyc01g057220,Cellular Component:cell wall
GO:0005618,Solyc01g099960,Cellular Component:cell wall
GO:0005618,Solyc01g091060,Cellular Component:cell wall
GO:0005618,Solyc01g091050,Cellular Component:cell wall
GO:0005618,Solyc01g090130,Cellular Component:cell wall
GO:0005618,Solyc09g075330,Cellular Component:cell wall
GO:0005618,Solyc01g066420,Cellular Component:cell wall
GO:0005618,Solyc07g017560,Cellular Component:cell wall
