GO_term,locusName,fx
GO:0000723,Solyc10g074420,Biological Process:telomere maintenance
GO:0000723,Solyc07g026970,Biological Process:telomere maintenance
GO:0000723,Solyc04g019320,Biological Process:telomere maintenance
GO:0000723,Solyc05g053800,Biological Process:telomere maintenance
GO:0000723,Solyc11g050920,Biological Process:telomere maintenance
GO:0000723,Solyc08g044360,Biological Process:telomere maintenance
GO:0000723,Solyc07g014760,Biological Process:telomere maintenance
GO:0000723,Solyc12g035200,Biological Process:telomere maintenance
GO:0000723,Solyc12g038210,Biological Process:telomere maintenance
GO:0000723,Solyc02g014420,Biological Process:telomere maintenance
GO:0000723,Solyc04g025340,Biological Process:telomere maintenance
GO:0000723,Solyc10g050390,Biological Process:telomere maintenance
GO:0000723,Solyc10g054190,Biological Process:telomere maintenance
GO:0000723,Solyc00g010760,Biological Process:telomere maintenance
GO:0000723,Solyc07g032820,Biological Process:telomere maintenance
GO:0000723,Solyc11g044580,Biological Process:telomere maintenance
GO:0000723,Solyc08g062260,Biological Process:telomere maintenance
GO:0000723,Solyc10g049400,Biological Process:telomere maintenance
GO:0000723,Solyc03g083220,Biological Process:telomere maintenance
GO:0000723,Solyc09g042270,Biological Process:telomere maintenance
GO:0000723,Solyc10g054160,Biological Process:telomere maintenance
GO:0000723,Solyc01g057480,Biological Process:telomere maintenance
GO:0000723,Solyc06g011650,Biological Process:telomere maintenance
GO:0000723,Solyc01g065870,Biological Process:telomere maintenance
GO:0000723,Solyc10g074410,Biological Process:telomere maintenance
GO:0000723,Solyc10g054210,Biological Process:telomere maintenance
GO:0000723,Solyc00g014970,Biological Process:telomere maintenance
GO:0000723,Solyc09g098230,Biological Process:telomere maintenance
GO:0000723,Solyc10g054150,Biological Process:telomere maintenance
GO:0000723,Solyc10g050280,Biological Process:telomere maintenance
GO:0000723,Solyc04g049030,Biological Process:telomere maintenance
GO:0000723,Solyc04g049040,Biological Process:telomere maintenance
GO:0000723,Solyc04g024410,Biological Process:telomere maintenance
GO:0000723,Solyc02g070300,Biological Process:telomere maintenance
GO:0000723,Solyc03g083230,Biological Process:telomere maintenance
GO:0000723,Solyc02g014330,Biological Process:telomere maintenance
GO:0000723,Solyc01g057710,Biological Process:telomere maintenance
GO:0000724,Solyc02g050210,Biological Process:double-strand break repair via homologous recombination
GO:0000724,Solyc11g072610,Biological Process:double-strand break repair via homologous recombination
GO:0000724,Solyc02g050200,Biological Process:double-strand break repair via homologous recombination
GO:0000724,Solyc07g062780,Biological Process:double-strand break repair via homologous recombination
GO:0000724,Solyc01g087720,Biological Process:double-strand break repair via homologous recombination
